GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21
7722;Инспекция Федеральной налоговой службы № 22 по г.Москве;,111024,Москва г,,,,Энтузиастов ш,14,,;(495)400-00-22,400-20-61,400-20-64,400-21-17, 400-20-34,400-21-1;Код ОКПО:29290220 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7723;Инспекция Федеральной налоговой службы № 23 по г.Москве;,109386,Москва г,,,,Таганрогская ул,2,,;(495)400-00-23,400-21-42, 400-21-72;Код ОКПО:29290237 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7723;Инспекция Федеральной налоговой службы № 23 по г.Москве;,109386,Москва г,,,,Таганрогская ул,2,,;(495)400-00-23,400-21-42, 400-21-72;Код ОКПО:29290237 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7724;Инспекция Федеральной налоговой службы № 24 по г.Москве;,115201,Москва г,,,,Старокаширское ш,4,11,  ,115409,Москва г,,,,Каширское ш,44,4,;(495)400-22-61,276-22-22,400-22-69;Код ОКПО:29290243 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7724;Инспекция Федеральной налоговой службы № 24 по г.Москве;,115201,Москва г,,,,Старокаширское ш,4,11,  ,115409,Москва г,,,,Каширское ш,44,4,;(495)400-22-61,276-22-22,400-22-69;Код ОКПО:29290243 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7725;Инспекция Федеральной налоговой службы № 25 по г.Москве;,115193,Москва г,,,,Кожуховская 5-я ул,1/11,,;(495)400-22-88,276-22-22,400-22-87;Код ОКПО:29290252 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7725;Инспекция Федеральной налоговой службы № 25 по г.Москве;,115193,Москва г,,,,Кожуховская 5-я ул,1/11,,;(495)400-22-88,276-22-22,400-22-87;Код ОКПО:29290252 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7726;Инспекция Федеральной налоговой службы № 26 по г.Москве;,117639,Москва г,,,,Черноморский б-р,1,1,;(495)400 00 26,400-23-38,400-23-48;Код ОКПО:29290266 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7726;Инспекция Федеральной налоговой службы № 26 по г.Москве;,117639,Москва г,,,,Черноморский б-р,1,1,;(495)400 00 26,400-23-38,400-23-48;Код ОКПО:29290266 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7727;Инспекция Федеральной налоговой службы № 27 по г.Москве;,117418,Москва г,,,,Новочеремушкинская ул,58,1,;8(495) 400-24-17, 400-00-27;Код ОКПО:29290272 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7727;Инспекция Федеральной налоговой службы № 27 по г.Москве;,117418,Москва г,,,,Новочеремушкинская ул,58,1,;8(495) 400-24-17, 400-00-27;Код ОКПО:29290272 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7728;Инспекция Федеральной налоговой службы № 28 по г.Москве;,117149,Москва г,,,,Сивашская ул,5,,;(495)400-25-06,400-24-33,400-24-48,400-24-49,400-25-10;Код ОКПО:29290289 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7728;Инспекция Федеральной налоговой службы № 28 по г.Москве;,117149,Москва г,,,,Сивашская ул,5,,;(495)400-25-06,400-24-33,400-24-48,400-24-49,400-25-10;Код ОКПО:29290289 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7729;Инспекция Федеральной налоговой службы № 29 по г. Москве;,119454,Москва г,,,,Лобачевского ул,66а,,  ,119618,Москва г,,,,Пятьдесят лет Октября ул,6,,;(495)400-00-29,400-26-48,400-25-83,400-26-43,435-36-20,400-26-23;Код ОКПО:29290295 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7729;Инспекция Федеральной налоговой службы № 29 по г. Москве;,119454,Москва г,,,,Лобачевского ул,66а,,  ,119618,Москва г,,,,Пятьдесят лет Октября ул,6,,;(495)400-00-29,400-26-48,400-25-83,400-26-43,435-36-20,400-26-23;Код ОКПО:29290295 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7730;Инспекция Федеральной налоговой службы № 30 по г. Москве;,121433,Москва г,,,,Филевская М. ул,10,3;(495)400-26-55,400-26-84,400-26-77,400-26-56,400-26-83,400-26-81;Код ОКПО:29290303 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7730;Инспекция Федеральной налоговой службы № 30 по г. Москве;,121433,Москва г,,,,Филевская М. ул,10,3;(495)400-26-55,400-26-84,400-26-77,400-26-56,400-26-83,400-26-81;Код ОКПО:29290303 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7731;Инспекция Федеральной налоговой службы № 31 по г.Москве;,121351,Москва г,,,,Молодогвардейская ул,23,1, 121351,Москва г,,,,Молодогвардейская ул,21,1,;(495)400-27-71,400-27-34,400-27-18,400-27-25,400-27-39,400-27-22;Код ОКПО:29290317 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7731;Инспекция Федеральной налоговой службы № 31 по г.Москве;,121351,Москва г,,,,Молодогвардейская ул,23,1, 121351,Москва г,,,,Молодогвардейская ул,21,1,;(495)400-27-71,400-27-34,400-27-18,400-27-25,400-27-39,400-27-22;Код ОКПО:29290317 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7733;Инспекция Федеральной налоговой службы № 33 по г.Москве;,125373,Москва г,,,,Походный проезд,домовладение 3,;(495)400-00-33,400-28-54,400-28-16,400-28-29,400-28-14,400-28-78;Код ОКПО:29290332 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7733;Инспекция Федеральной налоговой службы № 33 по г.Москве;,125373,Москва г,,,,Походный проезд,домовладение 3,;(495)400-00-33,400-28-54,400-28-16,400-28-29,400-28-14,400-28-78;Код ОКПО:29290332 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7734;Инспекция Федеральной налоговой службы № 34 по г.Москве;,123154,Москва г,,,,Маршала Жукова проспект,1,,;(495)400-29-38,400-29-04,400-29-37,400-29-17;Код ОКПО:29290349 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7734;Инспекция Федеральной налоговой службы № 34 по г.Москве;,123154,Москва г,,,,Маршала Жукова проспект,1,,;(495)400-29-38,400-29-04,400-29-37,400-29-17;Код ОКПО:29290349 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7735;Инспекция Федеральной налоговой службы № 35 по г.Москве;,124482,Москва г,,Зеленоград г,,Юности ул,5,,;(495)400-30-09,400-29-92,400-29-86,400-29-85;Код ОКПО:29290355 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7735;Инспекция Федеральной налоговой службы № 35 по г.Москве;,124482,Москва г,,Зеленоград г,,Юности ул,5,,;(495)400-30-09,400-29-92,400-29-86,400-29-85;Код ОКПО:29290355 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7736;Инспекция Федеральной налоговой службы № 36 по г.Москве;,119311,Москва г,,,,Ломоносовский пр-кт,23,, 119261,Москва г,,,,Ленинский пр-кт,70/11,, 116296,Москва г,,,,Ленинский пр-кт,69,;(495)400-30-54,400-30-52,400-31-05,400-30-98,400-30-53,400-30-91;Код ОКПО:29290361 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7736;Инспекция Федеральной налоговой службы № 36 по г.Москве;,119311,Москва г,,,,Ломоносовский пр-кт,23,, 119261,Москва г,,,,Ленинский пр-кт,70/11,, 116296,Москва г,,,,Ленинский пр-кт,69,;(495)400-30-54,400-30-52,400-31-05,400-30-98,400-30-53,400-30-91;Код ОКПО:29290361 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7743;Инспекция Федеральной налоговой службы № 43 по г. Москве;,125493,Москва г,,,,Смольная ул,25А;(495)400-31-30,400-31-26;Код ОКПО:52630934 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7743;Инспекция Федеральной налоговой службы № 43 по г. Москве;,125493,Москва г,,,,Смольная ул,25А;(495)400-31-30,400-31-26;Код ОКПО:52630934 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45 Вторую и четвертую субботу календарного месяца с 10.00 до 15.00.;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;
7745;Межрайонная инспекция Федеральной налоговой службы № 45 по г.Москве;,125373,Москва г,,,,Походный проезд,домовладение 3,;(495)400-00-45,400-31-93,400-31-97;Код ОКПО:57077703 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;;;;;
7745;Межрайонная инспекция Федеральной налоговой службы № 45 по г.Москве;,125373,Москва г,,,,Походный проезд,домовладение 3,;(495)400-00-45,400-31-93,400-31-97;Код ОКПО:57077703 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;77066;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;125373, г.Москва, Походный проезд, домовладение 3, стр.2;8(495)400-32-78, 8(495)400-32-39;;;;;;
7746;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;,125373,Москва г,,,,Походный проезд, домовладение 3, стр.2,;(495)400-32-78,400-32-39,400-32-87,400-32-12;Код ОКПО:70286653 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45;Управление Федерального казначейства по г. Москве;45373000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;;;;;;;;;;
7746;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;,125373,Москва г,,,,Походный проезд, домовладение 3, стр.2,;(495)400-32-78,400-32-39,400-32-87,400-32-12;Код ОКПО:70286653 Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45;Управление Федерального казначейства по г. Москве;45920000;7725074789;770901001;ОТДЕЛЕНИЕ 1 МОСКОВСКОГО ГТУ БАНКА РОССИИ;044583001;;40101810800000010041;;;;;;;;;;
